SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
Chronic myeloid leukaemia,Chronic myeloid leukaemia,C0023473,0.9999999999999991
Chronic myeloid leukaemia recurrent,chronic lymphocytic leukaemia recurrent,C0854802,0.8311211473563576
Chronic myelomonocytic leukaemia,Chronic myelomonocytic leukaemia,C0023480,1.0000000000000007
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,C0024117,1.0000000000000002
Chronic papillomatous dermatitis,Papillomatosis,C0205875,0.6838467303326929
Chronic respiratory failure,chronic respiratory failure,C0264492,1.000000000000001
Chronic sinusitis,Chronic sinusitis,C0149516,0.9999999999999996
Chronic spontaneous urticaria,chronic spontaneous urticaria,C0578870,0.9999999999999992
Chronic throat clearing,Dry throat,C0235234,0.7846780556077563
Chronic tonsillitis,Tonsillitis,C0040425,0.7488852677399684
Chvostek^s sign,Lhermitte's sign,C0576702,0.7437275677203582
Chylothorax,Chylothorax,C0008733,1.0000000000000007
Cinchonism,Cinchonism,C0151555,1.0000000000000004
Circadian rhythm sleep disorder,Circadian rhythm sleep disorder,C0877792,1.0000000000000007
Circulatory collapse,Circulatory depression,C1610069,0.819672247703468
Circumcision,oophorectomy,C0029936,0.6027718191234959
Circumoral oedema,Circumoral oedema,C0239062,1.0
Circumstance or information capable of leading to device use error,circumstance or information capable of leading to medication error,C0025115,0.800240002863952
Circumstance or information capable of leading to medication error,circumstance or information capable of leading to medication error,C0025115,0.9999999999999994
Citrobacter sepsis,Enterobacter sepsis,C0743525,0.7528320314344491
Claustrophobia,Claustrophobia,C0008909,0.9999999999999992
Clavicle fracture,Clavicle fracture,C0159658,1.000000000000001
Cleft lip and palate,Cleft lip,C0008924,0.8586599004360075
Cleft palate,Cleft palate,C0008925,1.0
Clinodactyly,Syndactyly,C0039075,0.6617875818129507
Clonic convulsion,Clonic convulsion,C0234535,0.9999999999999994
Clonus,Clonus,C0009024,1.0
Clostridial infection,Clostridial infection,C0009062,1.0000000000000009
Clostridial sepsis,Clostridial infection,C0009062,0.9206879099123771
Clostridium bacteraemia,Clostridial infection,C0009062,0.7094341561769876
Clostridium colitis,Clostridium colitis,C1142300,1.0
Clostridium difficile colitis,Clostridium difficile colitis,C0238106,1.0000000000000009
Clostridium difficile infection,clostridium difficile infection,C0343386,1.0000000000000007
Clostridium test positive,micrococcus test positive,C2747991,0.710400387821981
Clubbing,clubbing,C0149651,1.0000000000000004
Clumsiness,Clumsiness,C0233844,1.0000000000000007
Cluster headache,Cluster headache,C0009088,1.0000000000000013
Coagulation factor V level abnormal,coagulation factor v level abnormal,C0855400,0.9999999999999992
Coagulation factor V level decreased,coagulation factor v level decreased,C0855401,1.0000000000000007
Coagulation factor V level increased,coagulation factor v level abnormal,C0855400,0.7697068836715921
Coagulation factor VII level decreased,coagulation factor vii level decreased,C0855407,0.9999999999999992
Coagulation factor X level decreased,Coagulation factor decreased,C0272315,0.7615245176587645
Coagulation factor decreased,Coagulation factor decreased,C0272315,1.0000000000000002
Coagulation factor deficiency,Coagulation factor decreased,C0272315,0.8409262494304129
Coagulation test abnormal,Coagulation test abnormal,C1504379,1.0000000000000002
Coagulation time abnormal,Coagulation test abnormal,C1504379,0.8778953632896211
Coagulation time prolonged,Coagulation time prolonged,C0151563,1.0000000000000004
Coagulation time shortened,Prothrombin time shortened,C0580413,0.8583095538269443
Coagulopathy,Coagulopathy,C0005779,0.9999999999999997
Coating in mouth,Tongue coated,C0009144,0.7006313108412496
Coccidioidomycosis,coccidioidomycosis,C0009186,1.0000000000000002
Coccydynia,Coccydynia,C0009193,1.000000000000001
Coeliac artery stenosis,large intestinal stenosis,C0853970,0.6685060117703192
Coeliac disease,Sprue,C0205707,0.7716037055354688
Cognitive disorder,Cognitive disorder,C0009241,1.0000000000000002
Cogwheel rigidity,Cogwheel rigidity,C0151564,1.0
Coinfection,HCV coinfection,C1698259,0.8015540732162462
Cold sweat,Cold sweat,C0232431,0.9999999999999993
Cold urticaria,Allergic urticaria,C0149526,0.7577967920311376
Cold-stimulus headache,Tension headache,C0033893,0.8068235655935138
Colectomy,colectomy,C0009274,0.9999999999999992
Colitis,Colitis,C0009319,0.9999999999999991
Colitis ischaemic,Colitis ischaemic,C0162529,1.0000000000000007
Colitis microscopic,Colitis microscopic,C0400821,1.000000000000001
Colitis ulcerative,Colitis ulcerative,C0009324,0.9999999999999998
Collagen disorder,Collagen disorder,C0009326,0.999999999999999
Collateral circulation,coronary artery bypass,C0010055,0.6552079658959218
Colon adenoma,Colonic polyp,C0009376,0.7801854946143265
Colon cancer,Colon cancer,C0007102,1.0000000000000009
Colon cancer metastatic,Colorectal cancer metastatic,C0948380,0.9101992463269372
Colon cancer stage III,Colorectal cancer metastatic,C0948380,0.6781622995338894
Colon cancer stage IV,Colorectal cancer metastatic,C0948380,0.8014866986269604
Colon injury,gastrointestinal injury,C0160345,0.7236853708952693
Colon neoplasm,colon neoplasm,C0009375,1.0000000000000007
Colonic haematoma,Hemorrhage of colon,C0151694,0.7834612241931553
Colonic pseudo-obstruction,Colonic pseudo-obstruction,C0009377,0.9999999999999999
Colonoscopy,endoscopy,C0014245,0.6703568718273176
Colorectal cancer,Colorectal cancer,C1527249,0.9999999999999997
Colorectal cancer metastatic,Colorectal cancer metastatic,C0948380,1.0000000000000007
Colostomy,colostomy closure,C0192993,0.8447166432874581
Colour blindness,Colour blindness,C0242225,0.9999999999999989
Colour blindness acquired,Colour blindness acquired,C0155018,1.0
Coma,Coma,C0009421,0.9999999999999994
Coma acidotic,Hypoglycaemic coma,C0020617,0.7214606592629496
Coma blister,Coma,C0009421,0.710421164343687
Coma hepatic,Coma hepatic,C0019147,1.0000000000000007
Coma scale,coma scale,C2747807,0.9999999999999996
Coma scale abnormal,coma scale abnormal,C2747808,1.0000000000000004
Comminuted fracture,Compression fracture,C0521169,0.640683652597736
Communication disorder,communication disorder,C0009460,1.0
Communication issue,communication disorder,C0009460,0.8600059294769183
Compartment syndrome,Compartment syndrome,C0009492,0.9999999999999992
Complement factor C3 decreased,complement factor c3 decreased,C0920150,0.9999999999999998
Complement factor C4 decreased,complement factor c3 decreased,C0920150,0.7397105746927777
Completed suicide,Completed suicide,C0852733,1.0000000000000002
Complex partial seizures,Complex partial seizures,C0149958,0.9999999999999989
Complex regional pain syndrome,Complex regional pain syndrome,C0458219,1.0000000000000002
Complication associated with device,Medical device complication,C1112353,0.9033523095915738
Complication of device removal,complication of device removal,C0853936,1.000000000000002
Complications of bone marrow transplant,complications of bone marrow transplant,C0161802,1.0000000000000007
Complications of transplanted heart,complications of transplanted heart,C0340529,0.9999999999999989
Complications of transplanted kidney,complications of transplanted kidney,C1261281,1.0000000000000002
Complications of transplanted lung,complications of transplanted lung,C0161801,1.0000000000000004
Compression fracture,Compression fracture,C0521169,1.0
Compulsions,Compulsions,C0600104,1.0000000000000009
Compulsive lip biting,tongue biting,C0241424,0.6423868272261564
Compulsive sexual behaviour,Compulsive sexual behaviour,C2242574,0.9999999999999998
Compulsive shopping,Compulsive shopping,C2242575,1.0000000000000016
Computerised tomogram abnormal,computerised tomogram thorax abnormal,C1141869,0.8111008319305559
Computerised tomogram liver abnormal,Liver function test abnormal,C0151766,0.6627328147408788
Computerised tomogram thorax,computerised tomogram thorax abnormal,C1141869,0.5524309949811369
Computerised tomogram thorax abnormal,computerised tomogram thorax abnormal,C1141869,1.0000000000000007
Concomitant disease aggravated,concomitant disease aggravated,C0853643,1.0000000000000004
Concomitant disease progression,concomitant disease aggravated,C0853643,0.7788902866308244
Concomitant drug effect decreased,Drug effect decreased,C0521845,0.804053118420497
Concussion,Concussion,C0006107,0.9999999999999999
Condition aggravated,Condition aggravated,C0235874,0.9999999999999997
Conduct disorder,conduct disorder,C0149654,1.0
Conduction disorder,Conduction disorder,C0264886,1.0000000000000004
Confabulation,Flight of ideas,C0233657,0.581901743930367
Confusion postoperative,Confusion postoperative,C1319200,1.0000000000000004
Confusional state,Confusional state,C0009676,1.0000000000000004
Congenital anomaly,Congenital anomaly,C0000768,0.9999999999999996
Congenital aortic anomaly,congenital aortic anomaly,C0302467,1.0000000000000013
Congenital central nervous system anomaly,Congenital central nervous system anomaly,C0151490,0.9999999999999996
Congenital coronary artery malformation,Congenital arterial malformation,C0265935,0.689774713834158
Congenital dyskeratosis,Hyperkeratosis,C0870082,0.6954765047611738
Congenital eye disorder,Congenital eye disorder,C0015393,0.9999999999999991
Congenital hydronephrosis,Congenital hydronephrosis,C0266316,1.0000000000000007
Congenital hypertrichosis,Hypertrichosis,C0020555,0.8945340896103888
Congenital hypothyroidism,Congenital hypothyroidism,C0010308,1.0000000000000009
Congenital multiplex arthrogryposis,congenital multiplex arthrogryposis,C0003886,1.0000000000000009
Congenital nose malformation,congenital nose malformation,C0265736,1.0000000000000004
Congestive cardiomyopathy,Congestive cardiomyopathy,C0007193,0.9999999999999994
Congestive hepatopathy,Hepatic congestion,C0267821,0.7737708731968088
Conjunctival deposit,Deposit eye,C0541865,0.787884101671918
Conjunctival discolouration,Eyelash discolouration,C1142111,0.7840507486836856
Conjunctival disorder,Conjunctival disorder,C0009759,0.9999999999999998
Conjunctival erosion,eyelid erosion,C1261975,0.8202952522086283
Conjunctival haemorrhage,Conjunctival haemorrhage,C0009760,0.9999999999999997
Conjunctival hyperaemia,Conjunctival hyperaemia,C1761613,1.0000000000000016
Conjunctival irritation,Conjunctival irritation,C0239093,1.0000000000000016
Conjunctival oedema,Conjunctival oedema,C0151601,0.9999999999999997
Conjunctival pallor,Conjunctival xerosis,C3665609,0.7760152010278847
Conjunctivitis,Conjunctivitis,C0009763,1.0000000000000009
Connective tissue disorder,Connective tissue disorder,C0009782,0.9999999999999999
Connective tissue inflammation,Connective tissue inflammation,C1112341,0.9999999999999986
Consciousness fluctuating,Altered state of consciousness,C0150450,0.7770700908829133
Constipation,Constipation,C0009806,1.0000000000000007
Continuous haemodiafiltration,haemodialysis,C0019004,0.7874993070158792
Contracted bladder,Bladder constriction,C0854448,0.8713311661622549
Contraindicated drug administered,contraindication to medical treatment,C1301624,0.8112309314840644
Contraindicated drug prescribed,contraindication to medical treatment,C1301624,0.7513490671307366
Contraindicated product administered,contraindication to medical treatment,C1301624,0.8171634599825897
Contraindicated product prescribed,contraindication to medical treatment,C1301624,0.7654070367570854
Contraindication to medical treatment,contraindication to medical treatment,C1301624,1.000000000000001
Contrast encephalopathy,vasogenic cerebral oedema,C0472387,0.6666001388773877
Contrast media allergy,Contrast media reaction,C0853800,0.7359146643688015
Contrast media reaction,Contrast media reaction,C0853800,1.0000000000000009
Contusion,Contusion,C0009938,0.9999999999999987
Conversion disorder,Conversion disorder,C0009946,1.0000000000000002
Convulsion,Convulsion,C0036572,0.9999999999999998
Convulsion neonatal,convulsion neonatal,C0159020,0.9999999999999992
Convulsions local,Convulsive seizure,C0751494,0.7669709495864784
Convulsive threshold lowered,anticonvulsant drug level decreased,C1142503,0.6219455773888407
Coordination abnormal,Coordination abnormal,C0520966,0.9999999999999997
Corneal abrasion,Corneal abrasion,C0010032,1.0000000000000007
Corneal bleeding,Eye bleeding,C0423008,0.74850707057112
Corneal degeneration,Corneal degeneration,C0155118,1.0000000000000007
Corneal deposits,Corneal deposits,C0162281,1.0000000000000007
Corneal disorder,Corneal disorder,C0010034,1.0
Corneal dystrophy,corneal dystrophy,C0010036,0.9999999999999998
Corneal endothelial cell loss,Corneal epithelium defect,C0854114,0.764353221220642
Corneal epithelium defect,Corneal epithelium defect,C0854114,1.0000000000000016
Corneal erosion,Corneal erosion,C0392163,0.9999999999999988
Corneal infiltrates,Corneal infiltrates,C0853336,0.9999999999999993
Corneal lesion,Corneal lesion,C0151571,0.9999999999999999
Corneal leukoma,Corneal infiltrates,C0853336,0.7232209078631527
Corneal light reflex test abnormal,pupillary light reflex tests abnormal,C0853998,0.8224862131379153
Corneal neovascularisation,corneal neovascularisation,C0085109,1.0000000000000002
Corneal oedema,Corneal oedema,C0010037,1.0
Corneal opacity,Corneal opacity,C0010038,0.9999999999999997
Corneal perforation,Corneal perforation,C0339293,0.999999999999999
Corneal reflex decreased,Corneal sensitivity decreased,C0859996,0.8143258200399706
Corneal scar,Corneal scar,C0349702,1.0000000000000007
Corneal thinning,Corneal thinning,C1096274,1.0000000000000009
Corona virus infection,Parainfluenzae virus infection,C0302507,0.6417711188197809
Coronary angioplasty,angioplasty,C0162577,0.7763151423735094
Coronary arterial stent insertion,Coronary stent thrombosis,C1536080,0.7980005002271195
Coronary artery bypass,coronary artery bypass,C0010055,1.0000000000000009
Coronary artery disease,Coronary artery disease,C1956346,1.0000000000000009
Coronary artery dissection,artery dissection,C0002949,0.7961821419577827
Coronary artery embolism,coronary artery embolism,C0264686,0.9999999999999997
Coronary artery occlusion,Coronary artery occlusion,C0151814,1.0000000000000002
Coronary artery restenosis,coronary artery restenosis,C0948480,0.9999999999999992
Coronary artery stenosis,Coronary artery stenosis,C0242231,1.0000000000000009
Coronary artery thrombosis,Coronary artery thrombosis,C0010072,1.0000000000000004
Coronary no-reflow phenomenon,Reversible ischaemic neurological deficit,C0553690,0.6753583823068797
Coronary sinus injury,heart injury,C0018805,0.6202136481276227
Coronavirus infection,Parainfluenzae virus infection,C0302507,0.6301116718916012
Coronavirus test positive,viral test positive,C1167762,0.6206857731431589
Corrective lens user,intraocular lens implant,C0023319,0.6091770126096404
Corrosive oropharyngeal injury,Mouth injury,C0272426,0.5936602480906806
Cortisol abnormal,blood corticotrophin abnormal,C0853597,0.7475593369395946
Cortisol decreased,Blood cortisol decreased,C0852792,0.9434967992475908
Cortisol free urine decreased,Blood cortisol decreased,C0852792,0.6710149138679168
Cortisol free urine increased,Urine output increased,C1167965,0.5922940772738271
Cortisol increased,blood corticotrophin increased,C0853121,0.7685415050265266
Corynebacterium infection,bacillus infection,C0854327,0.6286296100037659
Cough,Cough,C0010200,1.0000000000000004
Cough decreased,Cough decreased,C0151574,0.9999999999999991
Counterfeit product administered,labelled drug-food interaction medication error,C1536017,0.6279875544899752
Cow^s milk intolerance,Lactose intolerance,C0022951,0.7504539798318838
Cranial nerve disorder,Cranial nerve disorder,C0010266,1.000000000000001
Cranial nerve injury,Nerve injury,C0161479,0.854547111381167
Cranial nerve paralysis,Cranial nerve paralysis,C0151311,0.9999999999999993
Craniocerebral injury,Head injury,C0018674,0.8307768152148631
Craniofacial fracture,Facial bones fracture,C0159321,0.883036615503388
Craniosynostosis,Craniosynostosis,C0010278,1.0000000000000007
Creatinine renal clearance abnormal,Creatinine renal clearance decreased,C0151577,0.8427942649048641
